Fichier Localisé Social et Fiscal (FiLoSoFi) - Année 2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;
France métropolitaine, Martinique et La Réunion - Communes;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mise en ligne le 19/06/2018       Géographie au 01/01/2016;;;;;;;;;;;;;;;;;;;;;;;;;;;;
©Insee       Source(s) : Insee-DGFIP-Cnaf-Cnav-CCMSA, Fichier localisé social et fiscal.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Code géographique;Libellé géographique;Nombre de ménages fiscaux;Nombre de personnes dans les ménages fiscaux;Médiane du niveau vie (€);Part des ménages fiscaux imposés (%);Taux de pauvreté-Ensemble (%);Taux de pauvreté-moins de 30 ans (%);Taux de pauvreté-30 à 39 ans  (%);Taux de pauvreté-40 à 49 ans (%);Taux de pauvreté-50 à 59 ans (%);Taux de pauvreté-60 à 74 ans (%);Taux de pauvreté-75 ans ou plus (%);Taux de pauvreté-propriétaires (%);Taux de pauvreté-locataires (%);Part des revenus d'activité (%);dont part des salaires et traitements hors chômage (%);dont part des indemnités de chômage (%);dont part des revenus des activités non salariées (%);Part des pensions, retraites et rentes (%);Part des revenus du patrimoine et autres revenus (%);Part de l'ensemble des prestations sociales (%);dont part des prestations familiales (%);dont part des minima sociaux (%);dont part des prestations logement (%);Part des impôts (%);1er décile du niveau de vie (€);9e décile du niveau de vie (€);Rapport interdécile 9e décile/1er décile
CODGEO;LIBGEO;NBMENFISC15;NBPERSMENFISC15;MED15;PIMP15;TP6015;TP60AGE115;TP60AGE215;TP60AGE315;TP60AGE415;TP60AGE515;TP60AGE615;TP60TOL115;TP60TOL215;PACT15;PTSA15;PCHO15;PBEN15;PPEN15;PPAT15;PPSOC15;PPFAM15;PPMINI15;PPLOGT15;PIMPOT15;D115;D915;RD15
01152;Échallon;301,0;764,0;24890,5;;;;;;;;;;;;;;;;;;;;;;;;
01153;Échenevex;681,0;1937,5;43790,0;62,4;;;;;;;;;;;;;;;;;;;;;;;
01154;Étrez;306,0;838,0;20371,5;;;;;;;;;;;;;;;;;;;;;;;;
01155;Évosges;65,0;146,0;20745,2;;;;;;;;;;;;;;;;;;;;;;;;
01156;Faramans;287,0;792,5;23707,3;;;;;;;;;;;;;;;;;;;;;;;;
01157;Fareins;850,0;2219,0;24084,7;66,1;;;;;;;;;;74,1;66,7;2,3;5,0;26,6;15,1;2,5;1,8;0,3;0,4;-18,3;14677,4;42428,3;2,9
01158;Farges;330,0;858,5;35203,0;;;;;;;;;;;;;;;;;;;;;;;;
01159;Feillens;1402,0;3405,5;21405,0;62,2;6,8;;;;;;;;;75,4;68,1;2,4;4,9;25,1;11,8;3,3;2,0;0,7;0,7;-15,6;13674,8;35102,7;2,6
01160;Ferney-Voltaire;3278,0;7038,0;25595,6;44,7;23,8;;22,6;28,5;28,6;19,3;;16,4;28,6;80,8;76,1;3,1;1,6;22,8;10,6;2,3;0,8;0,8;0,7;-16,5;6806,1;67490,7;9,9
01162;Flaxieu;;;;;;;;;;;;;;;;;;;;;;;;;;;
01163;Foissiat;821,0;2009,0;20855,9;56,7;;;;;;;;;;73,4;65,4;2,6;5,5;26,9;10,3;3,7;2,3;0,6;0,8;-14,3;13210,0;32679,3;2,5
01165;Francheleins;553,0;1595,0;22839,0;;;;;;;;;;;;;;;;;;;;;;;;
01166;Frans;861,0;2336,5;24269,7;70,3;;;;;;;;;;79,2;72,0;2,3;4,9;24,4;10,3;2,9;1,8;0,5;0,6;-16,8;15496,7;37562,0;2,4
01167;Garnerans;255,0;680,0;22036,7;;;;;;;;;;;;;;;;;;;;;;;;
01169;Genouilleux;229,0;640,5;22943,3;;;;;;;;;;;;;;;;;;;;;;;;
01170;Béard-Géovreissiat;363,0;1079,5;20935,0;;;;;;;;;;;;;;;;;;;;;;;;
01171;Géovreisset;321,0;947,0;21714,0;;;;;;;;;;;;;;;;;;;;;;;;
01172;Germagnat;62,0;146,0;18526,8;;;;;;;;;;;;;;;;;;;;;;;;
01173;Gex;4779,0;11173,5;31616,7;60,9;11,1;;10,7;12,0;11,8;;;7,0;15,4;97,2;91,7;3,4;2,1;12,1;6,3;1,8;0,8;0,4;0,5;-17,4;11626,5;67097,6;5,8
01174;Giron;74,0;168,0;22724,3;;;;;;;;;;;;;;;;;;;;;;;;
01175;Gorrevod;338,0;856,5;19626,5;;;;;;;;;;;;;;;;;;;;;;;;
01177;Grand-Corent;78,0;179,5;21251,7;;;;;;;;;;;;;;;;;;;;;;;;
01179;Grièges;808,0;1957,5;21846,0;;;;;;;;;;;;;;;;;;;;;;;;
01180;Grilly;278,0;683,5;42628,0;;;;;;;;;;;;;;;;;;;;;;;;
01181;Groissiat;438,0;1243,5;22832,3;;;;;;;;;;;;;;;;;;;;;;;;
01183;Guéreins;534,0;1425,0;22960,5;;;;;;;;;;;;;;;;;;;;;;;;
01184;Hautecourt-Romanèche;345,0;805,5;20604,5;;;;;;;;;;;;;;;;;;;;;;;;
